end_station_name,end_lat,end_lng
Morgan Ave & Lombardy St,40.72226,-73.93889
Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013
Henry St & Degraw St,40.6847514,-73.99917254
E 72 St & Park Ave,40.77118287540658,-73.96409422159195
W 111 St & 5 Ave,40.79752078124756,-73.9489397406578
South St & Gouverneur Ln,40.70355377,-74.00670227
Clinton St & Joralemon St,40.69239502,-73.99337909
E 27 St & Park Ave S,40.74275179648995,-73.9847157150507
Forsyth St & Canal St,40.7158155,-73.99422366
Orchard St & Grand St,40.717318403855785,-73.99067759513855
Avenue D & E 10 St,40.72506551015475,-73.97515833377838
Division Ave & Marcy Ave,40.70708701,-73.95796783
Hicks St & Montague St,40.69512845,-73.99595065
5 Ave & E 72 St,40.77282817,-73.96685276
W 12 St & Hudson St,40.73752993301071,-74.00558933615685
Atlantic Ave & Furman St,40.69165183,-73.9999786
Bank St & Washington St,40.7361967,-74.00859207
Canal St & Rutgers St,40.71427487,-73.98990025
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099
Henry St & Grand St,40.714211,-73.981095
E 30 St & Park Ave S,40.74444921,-73.98303529
Pike St & Monroe St,40.71173107,-73.99193043
E 51 St & 2 Ave,40.755293,-73.967641
Broadway & Berry St,40.71036129922581,-73.96530389785767
W 55 St & 6 Ave,40.763189,-73.978434
Park Ave & E 124 St,40.8045555,-73.9396861
E 115 St & Lexington Ave,40.797911,-73.9423
E 26 St & 3 Ave,40.74069317733043,-73.98160636425018
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
1 Ave & E 6 St,40.72633085971696,-73.98616880178452
E 20 St & FDR Dr,40.733208626522426,-73.9756813647
Christopher St & Greenwich St,40.73291553,-74.00711384
6 Ave & W 45 St,40.756951,-73.982631
Market St & Henry St,40.71310702305908,-73.99446353316307
E 22 St & 2 Ave,40.73716919369882,-73.98122549057007
Henry St & W 9 St,40.6763744,-74.00324957
E 48 St & 3 Ave,40.7546011026,-73.971878855
E 39 St & Lexington Ave,40.7494985460252,-73.97729203113158
E 4 St & Ave B,40.72334683218016,-73.98265913128853
West Drive & Prospect Park West,40.6610633719006,-73.97945255041122
W 47 St & 9 Ave,40.76153045158114,-73.99007007479668
Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608
Riverside Dr & W 82 St,40.78720869,-73.98128127
E 114 St & 1 Ave,40.7945663,-73.9362541
2 Ave & E 122 St,40.8006721,-73.9349
Broadway & W 155 St,40.83299,-73.94592
Carroll St & Columbia St,40.6830456,-74.00348559
5 Ave & 3 St,40.6728155,-73.98352355
57 St & 37 Ave,40.75048,-73.90513
Laight St & Hudson St,40.72185379,-74.00771779
Alexander Ave & E 134 St,40.807466,-73.927107
61 St & Woodside Ave,40.74501,-73.9036
Freeman St & Southern Blvd,40.830051,-73.892103
Bridge St & York St,40.70133448066992,-73.98471236228943
Southpoint Park,40.75370225419114,-73.95865201950072
3 Ave & E 62 St,40.76312584,-73.96526895
E 25 St & 2 Ave,40.73912601,-73.97973776
Washington Pl & 6 Ave,40.73224119,-74.00026394
Sunken Meadow Comfort Station,40.79558,-73.91906
E 5 St & Cooper Sq,40.72769,-73.990993
Riverside Dr & W 78 St,40.78414472,-73.98362492
E 72 St & York Ave,40.76663814,-73.95348296
Grand Concourse & E 164 St,40.829608,-73.921461
Lenox Ave & W 126 St,40.808442,-73.9452087
Lewis Ave & Madison St,40.686312,-73.935775
8 Ave & W 38 St,40.75461,-73.99177
E 44 St & Lexington Ave,40.752643,-73.974996
W 13 St & 7 Ave,40.73781509,-73.99994661
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
Vernon Blvd & 47 Rd,40.7449067,-73.9534573
Grand Concourse & E 171 St,40.839549,-73.913004
Morgan Ave & Maspeth Ave,40.716657,-73.93637
2 Ave & E 55 St,40.757920208794026,-73.96638214588165
Halsey St & Evergreen Ave,40.68858,-73.91227
Jerome Ave & W 184 St,40.860814,-73.902541
E 47 St & 1 Ave,40.75206862,-73.96784384
Front St & Gold St,40.70224,-73.982578
Broadway & W 53 St,40.76344058,-73.98268129
2 Ave & E 104 St,40.7892105,-73.94370784
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003
Morningside Ave & W 123 St,40.81,-73.9551508
2 Ave & E 29 St,40.74172351097472,-73.97809267044067
E 97 St & Madison Ave,40.787801,-73.953559
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938
Dyckman St & Henshaw St,40.867357,-73.92936
2 Ave & E 31 St,40.74290902,-73.97706058
Bergen St & 4 Ave,40.68256425759694,-73.9798977971077
E 138 St & Cypress Ave,40.805559,-73.914718
Grand Concourse & E 196 St,40.86767,-73.89286
31 Ave & 30 St,40.7647,-73.9240312
1 Ave & E 68 St,40.76500525,-73.95818491
Kingston Ave & Herkimer St,40.67890679,-73.94142771
12 Ave & W 125 St,40.818299,-73.960405
W 33 St & 10 Ave,40.75377336836039,-73.99937599897385
5 Ave & E 29 St,40.7451677,-73.98683077
Fulton St & William St,40.70960089363537,-74.00655090808868
Mott St & Prince St,40.72317958,-73.99480012
Columbia Heights & Cranberry St,40.700379,-73.995481
Washington Ave & Greene Ave,40.68650065,-73.96563307
,40.83,-73.92
Union St & Nevins St,40.67909799721684,-73.98765474557877
Washington St & Laight St,40.72231,-74.0106
Suydam St & Knickerbocker Ave,40.702013,-73.923769
W 31 St & 7 Ave,40.749156,-73.9916
W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178
Grand Concourse & E 166 St,40.83196,-73.91956
E 39 St & 2 Ave,40.74803319428767,-73.973827958107
W 15 St & 10 Ave,40.74275382865903,-74.00747358798981
31 Ave & Steinway St,40.7611488,-73.9170071
E 80 St & 2 Ave,40.77391390238118,-73.9543953537941
52 St & 6 Ave,40.642703,-74.009441
Bayard St & Leonard St,40.71915571696044,-73.94885390996933
W 84 St & Columbus Ave,40.78499979,-73.97283406
7 Ave & Park Pl,40.6776147,-73.97324283
Stockholm St & Wilson Ave,40.699304,-73.923044
Union Ave & Wallabout St,40.70029511,-73.95032283
Amsterdam Ave & W 131 St,40.816355,-73.954295
Dahill Rd & 12 Ave,40.646037,-73.980963
27 Ave & 3 St,40.77485,-73.9342
E 47 St & 2 Ave,40.75323098,-73.97032517
Marcus Garvey Blvd & Macon St,40.682601,-73.938037
India St Pier,40.731734785883454,-73.9612390102593
Broadway & W 168 St,40.84089603193041,-73.93972098827362
Commerce St & Van Brunt St,40.6812117,-74.00860912
Powers St & Olive St,40.71323,-73.93894
3 Ave & E 163 St,40.823872,-73.908699
Grand Army Plaza & Central Park S,40.7643971,-73.97371465
5 Ave & E 78 St,40.77632142182271,-73.96427392959595
