start_station_name,start_lat,start_lng
W 70 St & Amsterdam Ave,40.777419925,-73.982759118
E 20 St & Park Ave,40.73827428,-73.98751968
48 St & Barnett Ave,40.75001640425933,-73.91540944576263
Hart St & Wyckoff Ave,40.704876,-73.919911
Broadway & W 51 St,40.76228826,-73.98336183
Smith St & 9 St,40.6746957,-73.99785768
West St & Chambers St,40.71754834,-74.01322069
Bedford Ave & Montgomery St,40.665816,-73.956934
William St & Pine St,40.70717936,-74.00887308
Great Jones St,40.72743423,-73.99379025
W Broadway & W Houston St,40.726378,-74.000472
10 Ave & W 28 St,40.75066386,-74.00176802
Bushwick Ave & Powers St,40.71247661,-73.94100005
Driggs Ave & Lorimer St,40.72179134,-73.9504154
8 Ave & W 31 St,40.7505853470215,-73.9946848154068
Peck Slip & South St,40.7075188830923,-74.00108054280281
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
W 11 St & 6 Ave,40.73532427,-73.99800419
Windsor Pl & Howard Pl,40.659586906,-73.980336308
Sands St & Jay St,40.700119,-73.9862
55 St & Northern Blvd,40.753146529,-73.905867457
Bleecker St & Crosby St,40.72615604980408,-73.99510189890862
Centre St & Chambers St,40.71273266,-74.0046073
Stanton St & Chrystie St,40.72229346,-73.99147535
W 20 St & 8 Ave,40.74345335,-74.00004031
31 Ave & 61 St,40.757494926,-73.901507139
Market St & Cherry St,40.71076228,-73.99400398
E 51 St & Lexington Ave,40.75714758,-73.97207836
Seaman Ave & Beak St,40.867505,-73.926363
W 148 St & Amsterdam Ave,40.827075,-73.945909
E 25 St & 1 Ave,40.7381765,-73.97738662
Washington Park,40.6917823,-73.9737299
W 17 St & 8 Ave,40.74177603,-74.00149746
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373
Madison Ave & E 120 St,40.80295,-73.942954
W 15 St & 6 Ave,40.738046142482766,-73.99642959237099
E 41 St & Madison Ave (SE corner),40.752049,-73.979635
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
E 63 St & 3 Ave,40.763954,-73.9646
5 St & 6 Ave,40.670480967,-73.982104301
Canal St & Rutgers St,40.71427487,-73.98990025
E 54 St & 1 Ave,40.756265,-73.964179
Amsterdam Ave & W 79 St,40.7829391,-73.9786517
W 48 St &  Rockefeller Plaza,40.757769,-73.979294
Central Park West & W 85 St,40.78476,-73.969862
W 12 St & Hudson St,40.73752993301071,-74.00558933615685
Atlantic Ave & Furman St,40.69165183,-73.9999786
Bushwick Ave & Dekalb Ave,40.69502,-73.92825
Wadsworth Ave & W 175 St,40.846052,-73.937648
Broadway & W 168 St,40.84089603193041,-73.93972098827362
W 55 St & 6 Ave,40.763189,-73.978434
Marcus Garvey Blvd & Macon St,40.682601,-73.938037
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
E 40 St & Park Ave,40.750756,-73.978326
N Moore St & Hudson St,40.719902277,-74.008426309
Caton Ave & Argyle Rd,40.649681,-73.967829
40 Ave & Crescent St,40.7535992020056,-73.93795609474182
14 St & 7 Ave,40.663798213,-73.984028459
Prospect Pl & 6 Ave,40.679228067,-73.975046277
W 129 St & Convent Ave,40.814527154,-73.953497052
48 St & 37 Ave,40.751757264,-73.91501987
Sterling St & Bedford Ave,40.6627059,-73.9569115
E 9 St & 5 Ave,40.73275887045087,-73.99581670761108
